Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,619.000000,642.749878,610.200073,639.830017,639.830017,52040649
2020-12-15,643.280029,646.900024,623.799988,633.250000,633.250000,45223559
2020-12-16,628.229980,632.500000,605.000000,622.770020,622.770020,42095813
2020-12-17,628.190002,658.820007,619.500000,655.900024,655.900024,56270144
2020-12-18,668.900024,695.000000,628.539978,695.000000,695.000000,222126194
2020-12-21,666.239990,668.500000,646.070007,649.859985,649.859985,58045264
2020-12-22,648.000000,649.880005,614.229980,640.340027,640.340027,51861644
2020-12-23,632.200012,651.499878,622.570129,645.979980,645.979980,33172972
2020-12-24,642.989990,666.090027,641.000000,661.770020,661.770020,22865568
2020-12-28,674.510010,681.400024,660.799988,663.690002,663.690002,32278561
2020-12-29,661.000000,669.900024,655.000000,665.989990,665.989990,22910811
2020-12-30,672.000000,696.599976,668.360291,694.780029,694.780029,42846021
2020-12-31,699.989990,718.719971,691.119995,705.669983,705.669983,49649928
2021-01-04,719.460022,744.489929,717.189514,729.770020,729.770020,48638189
2021-01-05,723.659973,740.840027,719.200012,735.109985,735.109985,32245165
2021-01-06,758.489990,774.000000,749.099976,755.979980,755.979980,44699965
2021-01-07,777.630005,816.989990,775.200012,816.039978,816.039978,51498948
2021-01-08,856.000000,884.489990,838.390015,880.020020,880.020020,75055528
2021-01-11,849.400024,854.429993,803.622192,811.190002,811.190002,59554146
2021-01-12,831.000000,868.000000,827.340027,849.440002,849.440002,46270720
2021-01-13,852.760010,860.469971,832.000000,854.409973,854.409973,33312496
2021-01-14,843.390015,863.000000,838.750000,845.000000,845.000000,31266327
2021-01-15,852.000000,859.900024,819.099976,826.159973,826.159973,38777596
2021-01-19,837.799988,850.000000,833.000000,844.549988,844.549988,25366980
2021-01-20,858.739990,859.500000,837.280029,850.450012,850.450012,25665883
2021-01-21,855.000000,855.719910,841.420105,844.989990,844.989990,20598133
2021-01-22,834.309998,848.000000,828.619995,846.640015,846.640015,20066497
2021-01-25,855.000000,900.400024,838.820129,880.799988,880.799988,41173397
2021-01-26,891.380005,895.900024,871.599976,883.090027,883.090027,23131603
2021-01-27,870.349976,891.500000,858.659973,864.159973,864.159973,27333955
